,web-scraper-order,web-scraper-start-url,books,books-href,title,author,num_reviews,num_ratings,avg_rating,num_pages,original_publish_year,series,genres,places,awards,awards_won,mean_norm_ratings,min_max_norm_ratings
0,1618238480-3062,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Stranger in a Strange Land,https://www.goodreads.com/book/show/350.Stranger_in_a_Strange_Land,Stranger in a Strange Land,Robert A. Heinlein,8309,282233,3.92,525,1991,False,Religion,['nan'],"Hugo Award for Best Novel (1962), Prometheus Hall of Fame Award (1987)",2.0,5.142743902439023,5.060975609756097
1,1618238519-3194,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Blood Red Road (Dust Lands, #1)",https://www.goodreads.com/book/show/9917938-blood-red-road,Blood Red Road,Moira Young,5828,61335,3.9,459,2011,True,Young Adult,['nan'],"Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012)
                      ...more
                          Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013)
...less",10.0,5.032987804878048,4.841463414634147
2,1618238581-3426,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Across the Universe (Across the Universe, #1)",https://www.goodreads.com/book/show/8235178-across-the-universe,Across the Universe,Beth Revis,10354,116255,3.77,399,2011,True,Sci-Fi,"['Godspeed', 'United States of America', 'Earth', 'Outer Space']","Rhode Island Teen Book Award Nominee (2013), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011), Carnegie Medal Nominee (2012)",4.0,4.319573170731707,3.4146341463414647
3,1618238509-3155,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Birthmarked (Birthmarked, #1)",https://www.goodreads.com/book/show/6909544-birthmarked,Birthmarked,Caragh M. O'Brien,3619,47979,3.87,361,2010,True,Sci-Fi,['nan'],"Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)",5.0,4.868353658536586,4.512195121951221
4,1618238594-3483,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Long Walk,https://www.goodreads.com/book/show/9014.The_Long_Walk,The Long Walk,Richard Bachman,7735,135469,4.08,370,1999,False,Novels,['nan'],,0.0,6.020792682926829,6.817073170731708
5,1618238517-3192,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Cell,https://www.goodreads.com/book/show/10567.Cell,Cell,Stephen King,6225,199891,3.66,449,2006,False,Suspense,['nan'],,0.0,3.7159146341463423,2.207317073170735
6,1618238509-3157,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Birthmarked (Birthmarked, #1)",https://www.goodreads.com/book/show/6909544-birthmarked,Birthmarked,Caragh M. O'Brien,3619,47979,3.87,361,2010,True,Sci-Fi,['nan'],"Georgia Peach Book Award Nominee (2011), Rhode Island Teen Book Award Nominee (2012), Beehive Book Award Nominee (2012), Arkansas Teen Book Award Nominee (2012), CYBILS Award Nominee (2010)",5.0,4.868353658536586,4.512195121951221
7,1618238668-3759,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Watchmen,Alan Moore,14675,499362,4.37,416,2005,True,Graphic Novels Comics,"['New York City, New York,', '1985', 'United States']","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less",8.0,7.612256097560975,10.0
8,1618238583-3435,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Day of the Triffids,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids,The Day of the Triffids,John Wyndham,3650,93024,4.02,228,2003,True,Fiction,"['London, England', 'United Kingdom', 'United Kingdom']",International Fantasy Award Nominee for Fiction (1952),1.0,5.691524390243899,6.158536585365849
9,1618238637-3644,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,We,https://www.goodreads.com/book/show/76171.We,We,Yevgeny Zamyatin,4969,76635,3.91,226,1993,False,Fiction,['nan'],,0.0,5.0878658536585375,4.951219512195124
10,1618238668-3760,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Watchmen,https://www.goodreads.com/book/show/472331.Watchmen,Watchmen,Alan Moore,14675,499362,4.37,416,2005,True,Comics,"['New York City, New York,', '1985', 'United States']","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      ...more
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)
...less",8.0,7.612256097560975,10.0
11,1618238527-3233,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Incarceron (Incarceron, #1)",https://www.goodreads.com/book/show/332775.Incarceron,Incarceron,Catherine Fisher,5365,59683,3.64,458,2007,True,Mystery,['nan'],"Mythopoeic Fantasy Award Nominee for Children’s Literature (2011), Milwaukee County Teen Book Award Nominee (2011), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2007), Carnegie Medal Nominee (2008)",4.0,3.6061585365853666,1.9878048780487836
12,1618238475-3035,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Feed (Newsflesh Trilogy, #1)",https://www.goodreads.com/book/show/7094569-feed,Feed,Mira Grant,6376,53860,3.86,599,2010,True,Horror,['nan'],"Hugo Award Nominee for Best Novel (2011), Locus Award Nominee for Best SF Novel (2011), Shirley Jackson Award Nominee for Novel (Finalist) (2010), Goodreads Choice Award for Science Fiction (2010)",4.0,4.813475609756097,4.402439024390244
13,1618238708-3912,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Ender's Game (Ender's Saga, #1)",https://www.goodreads.com/book/show/375802.Ender_s_Game,Ender's Game,Orson Scott Card,44085,1177825,4.3,324,2004,True,Audiobook,['nan'],"Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel·la traduïda (2014), Nébula (1985), Margaret A. Edwards Award (2008)",5.0,7.228109756097559,9.231707317073168
14,1618238573-3401,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Parable of the Sower (Earthseed, #1)",https://www.goodreads.com/book/show/52397.Parable_of_the_Sower,Parable of the Sower,Octavia E. Butler,8017,80380,4.17,345,2000,True,Classics,"['California,', '2025', 'United States']","Nebula Award Nominee for Best Novel (1994), Locus Award Nominee for Best SF Novel (1995)",2.0,6.514695121951218,7.804878048780487
15,1618238548-3308,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Chrysalids,https://www.goodreads.com/book/show/826845.The_Chrysalids,The Chrysalids,John Wyndham,2282,44901,3.93,200,1977,False,Fantasy,['nan'],Złota Sepulka for Książka autora zagranicznego (1985),1.0,5.197621951219513,5.170731707317075
16,1618238553-3333,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Utopia,https://www.goodreads.com/book/show/18414.Utopia,Utopia,Thomas More,3046,61967,3.55,163,2003,False,Fantasy,['nan'],,0.0,3.1122560975609748,1.0
17,1618238499-3123,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Earth Abides,https://www.goodreads.com/book/show/93269.Earth_Abides,Earth Abides,George R. Stewart,2057,26032,3.96,345,2006,False,Adventure,['nan'],International Fantasy Award for Fiction (1951),1.0,5.362256097560975,5.5
18,1618238612-3549,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"A Canticle for Leibowitz (St. Leibowitz, #1)",https://www.goodreads.com/book/show/164154.A_Canticle_for_Leibowitz,A Canticle for Leibowitz,Walter M. Miller Jr.,4975,97628,3.97,334,2006,True,Fantasy,['nan'],"Hugo Award for Best Novel (1961), Locus Award for All-Time Best Novel (1975)",2.0,5.417134146341464,5.609756097560978
19,1618238493-3094,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Logan's Run,https://www.goodreads.com/book/show/73654.Logan_s_Run,Logan's Run,William F. Nolan,650,10471,3.66,149,1976,True,Sci-Fi,['nan'],,0.0,3.7159146341463423,2.207317073170735
20,1618238517-3186,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Cell,https://www.goodreads.com/book/show/10567.Cell,Cell,Stephen King,6225,199891,3.66,449,2006,False,Horror,['nan'],,0.0,3.7159146341463423,2.207317073170735
21,1618238522-3207,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Diamond Age: Or, a Young Lady's Illustrated Primer",https://www.goodreads.com/book/show/827.The_Diamond_Age,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,3532,86442,4.16,499,2000,False,Sci-Fi,['nan'],"Hugo Award for Best Novel (1996), Nebula Award Nominee for Best Novel (1996), Locus Award for Best Science Fiction Novel (1996), Arthur C. Clarke Award Nominee (1996), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1996)
                      ...more
                          Prometheus Award Nominee for Best Novel (1996)
...less",6.0,6.459817073170732,7.695121951219513
22,1618238706-3900,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Road,https://www.goodreads.com/book/show/6288.The_Road,The Road,Cormac McCarthy,47078,746264,3.97,241,2006,False,Literature,['nan'],"Pulitzer Prize for Fiction (2007), Locus Award Nominee for Best SF Novel (2007), James Tait Black Memorial Prize for Fiction (2006), The Quill Award for General Fiction (2007), Puddly Award for Fiction (2010)
                      ...more
                          National Book Critics Circle Award Nominee for Fiction (2006), Believer Book Award (2006), Tähtivaeltaja Award (2009), Cena Akademie SFFH for Kniha roku (Book of the Year) (2008), Prix des libraires du Québec for Lauréats hors Québec (2009), International Dublin Literary Award Nominee (2008), The Rooster -- The Morning News Tournament of Books (2007)
...less",12.0,5.417134146341464,5.609756097560978
23,1618238555-3337,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Enclave (Razorland, #1)",https://www.goodreads.com/book/show/7137327-enclave,Enclave,Ann Aguirre,5082,68050,3.9,259,2011,True,Sci-Fi,['nan'],"RITA Award by Romance Writers of America for Best Young Adult Romance (2012), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013)",2.0,5.032987804878048,4.841463414634147
24,1618238701-3880,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Stand,https://www.goodreads.com/book/show/149267.The_Stand,The Stand,Stephen King,22435,646087,4.34,1152,1990,False,Sci-Fi,['nan'],"Locus Award Nominee for Best SF Novel (1979), World Fantasy Award Nominee for Best Novel (1979), Gandalf Award Nominee (1979), Balrog Award Nominee for Best Novel (1979) (1980)",5.0,7.44762195121951,9.67073170731707
25,1618238571-3393,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Man in the High Castle,https://www.goodreads.com/book/show/216363.The_Man_in_the_High_Castle,The Man in the High Castle,Philip K. Dick,12097,184014,3.62,259,1992,False,Speculative Fiction,['nan'],"Hugo Award for Best Novel (1963), Tähtivaeltaja Award (1993)",2.0,3.496402439024391,1.7682926829268322
26,1618238490-3084,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Dune (Dune, #1)",https://www.goodreads.com/book/show/44767458-dune,Dune,Frank Herbert,28056,843135,4.23,688,2019,True,Sci-Fi,['nan'],"Hugo Award for Best Novel (1966), Nebula Award for Best Novel (1965), Seiun Award 星雲賞 for Best Foreign Novel (1974)",3.0,6.843963414634148,8.463414634146346
27,1618238632-3633,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Life As We Knew It (Last Survivors, #1)",https://www.goodreads.com/book/show/213753.Life_As_We_Knew_It,Life As We Knew It,Susan Beth Pfeffer,9881,120456,3.87,337,2006,True,Audiobook,"['Pennsylvania', 'United States', 'Howell, Pennsylvania', 'United States']","Buxtehuder Bulle (2010), South Carolina Book Award Nominee for Young Adult Book (2009), Rhode Island Teen Book Award Nominee (2008), Evergreen Teen Book Award (2009), The Inky Awards Nominee for Silver Inky (2008)
                      ...more
                          California Young Readers Medal Nominee for Young Adult (2009), Andre Norton Award Nominee (2006), Missouri Truman Readers Award (2009), Missouri Gateway Readers Award Nominee (2009), Rebecca Caudill Young Readers' Book Award Nominee (2009)
...less",10.0,4.868353658536586,4.512195121951221
28,1618238659-3718,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Time Machine,https://www.goodreads.com/book/show/2493.The_Time_Machine,The Time Machine,H.G. Wells,11682,432138,3.89,118,2002,False,Fantasy,['nan'],,0.0,4.978109756097561,4.731707317073173
29,1618238721-3954,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Brave New World,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,Aldous Huxley,32941,1508925,3.99,268,1998,False,Classics,['nan'],,0.0,5.526890243902439,5.829268292682929
30,1618238576-3404,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",https://www.goodreads.com/book/show/3432478-the-forest-of-hands-and-teeth,The Forest of Hands and Teeth,Carrie Ryan,8814,83501,3.59,310,2009,True,Young Adult,['nan'],"Georgia Peach Book Award Nominee for Honor book (2010), Goodreads Choice Award Nominee for Young Adult Series (2009)",2.0,3.331768292682926,1.4390243902439026
31,1618238617-3569,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Gone (Gone, #1)",https://www.goodreads.com/book/show/2536134.Gone,Gone,Michael  Grant,10983,185183,3.86,560,2008,True,Fantasy,"['Perdido Beach, California', 'United States']",Missouri Truman Readers Award Nominee (2011),1.0,4.813475609756097,4.402439024390244
32,1618238470-3021,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Ship Breaker (Ship Breaker, #1)",https://www.goodreads.com/book/show/7095831-ship-breaker,Ship Breaker,Paolo Bacigalupi,4485,43650,3.73,326,2010,True,Young Adult,"['New Orleans, Louisiana', 'United States']","Locus Award for Best Young Adult Book (2011), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2013), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), Michael L. Printz Award (2011)
                      ...more
                          Rhode Island Teen Book Award Nominee (2012), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2010), CYBILS Award Nominee for Young Adult Fantasy & Science Fiction (2010), National Book Award Finalist for Young People's Literature (2010), Missouri Gateway Readers Award Nominee (2013)
...less",11.0,4.100060975609757,2.975609756097562
33,1618238596-3488,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged,Atlas Shrugged,Ayn Rand,17825,361689,3.69,1168,1999,False,Politics,['nan'],"Prometheus Hall of Fame Award (1983), National Book Award Finalist for Fiction (1958)",2.0,3.880548780487805,2.5365853658536595
34,1618238561-3357,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Red Rising (Red Rising Saga, #1)",https://www.goodreads.com/book/show/15839976-red-rising,Red Rising,Pierce Brown,26559,268228,4.24,382,2014,True,Sci-Fi,['nan'],"Goodreads Choice Award for Debut Goodreads Author & Nominee for Young Adult Fantasy & Science Fiction (2014) and Nominee for Best of the Best  (2018), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2014)",3.0,6.898841463414635,8.573170731707318
35,1618238677-3790,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,World War Z: An Oral History of the Zombie War,https://www.goodreads.com/book/show/8908.World_War_Z,World War Z: An Oral History of the Zombie War,Max Brooks,26240,459144,4.01,342,2006,True,Sci-Fi,['nan'],"Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)",4.0,5.636646341463413,6.048780487804876
36,1618238656-3705,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Cinder (The Lunar Chronicles, #1)",https://www.goodreads.com/book/show/36381037-cinder,Cinder,Marissa Meyer,56831,729565,4.13,400,2012,True,Fantasy,['nan'],"Golden Duck Award for Young Adult (Hal Clement Award) (2013), Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2014), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014), Rhode Island Teen Book Award Nominee (2014)
                      ...more
                          California Young Readers Medal for Young Adult (2016), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012), Rebecca Caudill Young Readers' Book Award Nominee (2016)
...less",10.0,6.295182926829266,7.365853658536584
37,1618238637-3653,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,We,https://www.goodreads.com/book/show/76171.We,We,Yevgeny Zamyatin,4969,76635,3.91,226,1993,False,Speculative Fiction,['nan'],,0.0,5.0878658536585375,4.951219512195124
38,1618238666-3753,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The City of Ember (Book of Ember, #1)",https://www.goodreads.com/book/show/307791.The_City_of_Ember,The City of Ember,Jeanne DuPrau,11440,255528,3.86,288,2003,True,Childrens,['nan'],"California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2005), Child Magazine Best Book of the Year
                      ...more
                          Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006)
...less",13.0,4.813475609756097,4.402439024390244
39,1618238583-3441,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,The Day of the Triffids,https://www.goodreads.com/book/show/530965.The_Day_of_the_Triffids,The Day of the Triffids,John Wyndham,3650,93024,4.02,228,2003,True,Sci-Fi,"['London, England', 'United Kingdom', 'United Kingdom']",International Fantasy Award Nominee for Fiction (1952),1.0,5.691524390243899,6.158536585365849
40,1618238566-3382,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Station Eleven,https://www.goodreads.com/book/show/20170404-station-eleven,Station Eleven,Emily St. John Mandel,40680,348271,4.05,333,2014,False,Literary Fiction,"['Toronto, Ontario', 'Canada', 'Michigan', 'United States']","Locus Award Nominee for Best SF Novel (2015), Arthur C. Clarke Award (2015), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (Best Foreign Work) (2016), PEN/Faulkner Award for Fiction Nominee (2015), Sunburst Award Nominee for Adult (2015)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), British Fantasy Award Nominee for Best Horror Novel (August Derleth Award) (2015), NAIBA Book of the Year for Fiction (2015), Toronto Book Award Nominee (2015), The Great Michigan Read (2015), Women's Prize for Fiction Nominee for Longlist (2015), Andrew Carnegie Medal Nominee for Fiction (2015), National Book Award Finalist for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2014), The Rooster -- The Morning News Tournament of Books (2015)
...less",15.0,5.856158536585364,6.487804878048778
41,1618238677-3791,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,World War Z: An Oral History of the Zombie War,https://www.goodreads.com/book/show/8908.World_War_Z,World War Z: An Oral History of the Zombie War,Max Brooks,26240,459144,4.01,342,2006,True,Audiobook,['nan'],"Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)",4.0,5.636646341463413,6.048780487804876
42,1618238671-3770,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Do Androids Dream of Electric Sheep? (Blade Runner, #1)",https://www.goodreads.com/book/show/7082.Do_Androids_Dream_of_Electric_Sheep_,Do Androids Dream of Electric Sheep?,Philip K. Dick,14006,368427,4.08,244,1996,True,Fantasy,"['San Francisco, California', 'United States', 'California', 'United States', 'United States of America']",Nebula Award Nominee for Best Novel (1968),1.0,6.020792682926829,6.817073170731708
43,1618238664-3742,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Slaughterhouse-Five,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,Kurt Vonnegut Jr.,28424,1172959,4.08,275,1999,False,Literature,['nan'],"Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)",4.0,6.020792682926829,6.817073170731708
44,1618238677-3792,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,World War Z: An Oral History of the Zombie War,https://www.goodreads.com/book/show/8908.World_War_Z,World War Z: An Oral History of the Zombie War,Max Brooks,26240,459144,4.01,342,2006,True,Sci-Fi,['nan'],"Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)",4.0,5.636646341463413,6.048780487804876
45,1618238661-3725,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Wool Omnibus (Silo, #1)",https://www.goodreads.com/book/show/13453029-wool-omnibus,Wool Omnibus,Hugh Howey,13760,167105,4.2,509,2012,True,Fiction,['nan'],"Tähtivaeltaja Award Nominee (2014), Prix des libraires du Québec (2015), Bookworm Best Award for People's Pick (2013), Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)",4.0,6.679329268292683,8.134146341463417
46,1618238564-3365,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"Under the Never Sky (Under the Never Sky, #1)",https://www.goodreads.com/book/show/11594257-under-the-never-sky,Under the Never Sky,Veronica Rossi,8908,112171,3.99,374,2012,True,Sci-Fi,['Reverie'],"Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)",2.0,5.526890243902439,5.829268292682929
47,1618238651-3700,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,I Am Legend and Other Stories,https://www.goodreads.com/book/show/547094.I_Am_Legend_and_Other_Stories,I Am Legend and Other Stories,Richard Matheson,5044,121594,4.0,317,1997,False,Apocalyptic,['nan'],,0.0,5.581768292682926,5.939024390243903
48,1618238566-3375,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,Station Eleven,https://www.goodreads.com/book/show/20170404-station-eleven,Station Eleven,Emily St. John Mandel,40680,348271,4.05,333,2014,False,Sci-Fi,"['Toronto, Ontario', 'Canada', 'Michigan', 'United States']","Locus Award Nominee for Best SF Novel (2015), Arthur C. Clarke Award (2015), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (Best Foreign Work) (2016), PEN/Faulkner Award for Fiction Nominee (2015), Sunburst Award Nominee for Adult (2015)
                      ...more
                          John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2015), British Fantasy Award Nominee for Best Horror Novel (August Derleth Award) (2015), NAIBA Book of the Year for Fiction (2015), Toronto Book Award Nominee (2015), The Great Michigan Read (2015), Women's Prize for Fiction Nominee for Longlist (2015), Andrew Carnegie Medal Nominee for Fiction (2015), National Book Award Finalist for Fiction (2014), Goodreads Choice Award Nominee for Fiction (2014), The Rooster -- The Morning News Tournament of Books (2015)
...less",15.0,5.856158536585364,6.487804878048778
49,1618238666-3747,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The City of Ember (Book of Ember, #1)",https://www.goodreads.com/book/show/307791.The_City_of_Ember,The City of Ember,Jeanne DuPrau,11440,255528,3.86,288,2003,True,Sci-Fi,['nan'],"California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Dorothy Canfield Fisher Children's Book Award Nominee (2005), Child Magazine Best Book of the Year
                      ...more
                          Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006)
...less",13.0,4.813475609756097,4.402439024390244
50,1618238634-3634,https://www.goodreads.com/list/show/47.Best_Dystopian_and_Post_Apocalyptic_Fiction,"The Passage (The Passage, #1)",https://www.goodreads.com/book/show/6690798-the-passage,The Passage,Justin Cronin,19639,197293,4.03,766,2010,True,Horror,['nan'],"Locus Award Nominee for Best SF Novel (2011), Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)",2.0,5.746402439024391,6.268292682926832
